habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
3;2;2;136 m²;136 m²;6;No definida;16 a 30 años;$ 933.000 COP;$ 5.882.352,94*m²;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;San Patricio;800000000
2;2;1;73,54 m²;73 m²;4;Excelente;16 a 30 años;$ 266.000 COP;$ 4.011.422,36*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;El redil;295000000
3;5;6;390 m²;800 m²;5;Excelente;1 a 8 años;$ 1.050.000 COP;$ 6.410.256,41*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;San José de Bavaria;2500000000
2;2;1;93 m²;93 m²;5;Excelente;9 a 15 años;$ 450.000 COP;$ 5.913.978,49*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;3;210 m²;210 m²;6;Bueno;16 a 30 años;$ 1.264.000 COP;$ 3.714.285,71*m²;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;780000000
3;2;0;78 m²;78 m²;3;Excelente;9 a 15 años;$ 130.000 COP;$ 3.012.820,51*m²;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Suba Compartir;235000000
9;6;1;418 m²;0 m²;3;Bueno;más de 30 años;No definida;$ 2.153.110,05*m²;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;La española;900000000
3;3;2;116 m²;116 m²;5;Excelente;1 a 8 años;$ 990.000 COP;$ 6.293.103,45*m²;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;Apartamento;Santa Paula;730000000
5;4;2;460 m²;250 m²;4;No definida;más de 30 años;No definida;$ 2.173.913,04*m²;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Normandía;1000000000
4;3;1;130 m²;130 m²;3;Excelente;menor a 1 año;No definida;$ 2.692.307,69*m²;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;Casa;Zona Noroccidente;350000000
2;2;2;66 m²;66 m²;6;Bueno;1 a 8 años;$ 700.000 COP;$ 9.393.939,39*m²;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Santa Bárbara;620000000
3;2;2;103 m²;0 m²;4;Excelente;menor a 1 año;$ 370.000 COP;$ 6.019.417,48*m²;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Santa teresa;620000000
3;2;1;82 m²;72 m²;5;Excelente;más de 30 años;$ 549.000 COP;$ 5.853.658,54*m²;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Bella Suiza;480000000
2;3;2;133 m²;133 m²;6;No definida;16 a 30 años;$ 910.000 COP;$ 5.263.157,89*m²;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Santa Bárbara;700000000
2;3;2;95 m²;95 m²;6;Excelente;16 a 30 años;$ 545.000 COP;$ 5.789.473,68*m²;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Chicó;550000000
4;4;2;156 m²;147 m²;6;Excelente;16 a 30 años;$ 857.000 COP;$ 6.794.871,79*m²;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;La Carolina;1060000000
3;2;1;58 m²;53 m²;3;No definida;más de 30 años;$ 180.000 COP;$ 4.051.724,14*m²;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Granada Norte;235000000
3;2;1;120 m²;120 m²;3;Bueno;16 a 30 años;$ 195.000 COP;$ 2.750.000*m²;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;Nuevo Techo;330000000
4;5;6;532 m²;1.440 m²;6;Excelente;1 a 8 años;$ 1.355.000 COP;$ 4.323.308,27*m²;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Casa;Guaymaral;2300000000
